"Competitor","Website","Category","Key Selling Point","ICP","Highlighted Features","Public Pricing","Public Scale Claim","G2","Trustpilot","Rights / Commercial Use","Control / Consistency Relevance","GTM","Internal Note"
"Modelry","https://www.modelry.ai/","3D -> 2D / commerce visuals","Scalable 3D product visualization for ecommerce and AR","Ecommerce brands; retailers","3D modeling; virtual photography; lifestyle scenes; viewer; AR","From $42/model and $250/model + custom","Self-reported claims; some inconsistent across pages","n/f","n/f","Commerce / asset workflow trust","High on reusable 3D asset -> many outputs","Sales-led / production workflow","/Users/Peter/Documents/BizDev/research/2026-04-07-modelry-competitor-note.md"
"MoodNode","https://moodnode.ai/","Workflow infrastructure","Visual no-code workspace connecting 30+ AI models","Creative power users; designers; AI-heavy solo users","Node editor; BYOK; templates; Style DNA; Prompt Library","$0 / $5 / $9 / $29 / $49","No public user/customer count found","n/f","n/f","Strong: user ownership; BYOK; no-train claims","High on workflow control; less narrow on consistency","Self-serve creator-first","/Users/Peter/Documents/BizDev/research/2026-04-07-moodnode-competitor-note.md"
"Narkis.ai","https://narkis.ai/","Identity / consistency","Create your AI model once; then generate content forever","Creators; influencers; brands","Personal AI model; AI videos; virtual try-on; recurring content","~$29 / $39 / $59 one-time packages","50,000+ photos generated self-reported usage metric","n/f in reviewed pass","n/f in reviewed pass","Identity/likeness workflow; no major legal wedge seen","High on identity consistency","Product-led / identity-first","/Users/Peter/Documents/BizDev/research/2026-04-07-narkis-ai-competitor-note.md"
"Neolemon","https://www.neolemon.com/","Consistency / storytelling","Character consistency for illustrated storytelling","Story creators; agencies","Character consistency editors; scene creator; style/story tools","$29/month creator + custom enterprise + top-ups","Screenshot claim of 23,000+ storytellers; needs careful handling","n/f in reviewed pass","n/f in reviewed pass","Commercial use in pricing tiers","High on character consistency","Product-led + enterprise","/Users/Peter/Documents/BizDev/research/2026-04-07-neolemon-competitor-note.md"
"OpenArt","https://openart.ai/","Broad creative suite / consistency","Broad creativity platform with custom models and consistent characters","Creators; artists; teams; agencies","Custom models; consistent characters; stories; editing; video/audio","Free + paid tiers + team + add-ons","Trusted by millions self-reported","4.8/5 (2)","3.0/5 (343)","Broad creative platform rights; custom training","High on consistency + custom training","Product-led","/Users/Peter/Documents/BizDev/research/2026-04-07-openart-competitor-note.md"
"Pixeen","https://www.pixeen.in/","Design output / posters","AI poster maker with editable design output","Small businesses; local businesses; creators","Poster generation; remix; layout editing; resize; brand kit","n/f","No public user/customer count found","n/f","n/f","n/f","Moderate for layout/design control; low for world control","App/product-led","/Users/Peter/Documents/BizDev/research/2026-04-07-pixeen-competitor-note.md"
"Purple Palm","https://www.purplepalm.ai/en","Social commerce workflow","Automate and manage ecommerce social media","Ecommerce businesses; entrepreneurs; agencies","Product enhancement; social posts; captions; scheduling","EUR 0 / 9 / 19 / 99","No public user/customer count found","n/f","n/f","Workflow utility; no major rights wedge seen","Moderate-high on product consistency in social workflow","Vertical workflow / managed-lite","/Users/Peter/Documents/BizDev/research/2026-04-07-purple-palm-competitor-note.md"
"Rawshot AI","https://rawshot.ai/","Commerce content / photoshoot replacement","Studio-quality AI fashion and product photography at scale","Fashion brands; ecommerce brands; content teams","Synthetic models; templates; poses; logo repair; animate to video","$9 to $179 + tokens","Thousands of fashion brands self-reported","n/f in reviewed pass","n/f in reviewed pass","Strong: commercial rights; GDPR; EU AI Act; synthetic models","High on product/fashion accuracy and workflow replacement","Product-led + compliance trust","/Users/Peter/Documents/BizDev/research/2026-04-07-rawshot-competitor-note.md"
"SmartPixel","https://www.smartpixel.com/","Real estate configurator","Interactive digital twins for off-plan sales","Developers; broker networks; leasing teams","Unit selectors; panoramas; walkthroughs; pricing/availability","n/f","90,000+ units sold; 200+ projects; 15+ countries self-reported","n/f","n/f","Sales workflow trust","High on interactive visualization for sales","Demo-led / enterprise","/Users/Peter/Documents/BizDev/research/2026-04-07-smartpixel-competitor-note.md"
"Soona","https://soona.co/ai","Commerce content system","AI efficiency plus brand consistency for ecommerce","Ecommerce brands; Amazon/Shopify sellers","Scene gen from photos; props; resize; listing insights; analysis","Studio Pass $149; Basic $13; Standard $49; enterprise custom","25k brands trust soona self-reported","n/f in reviewed pass","n/f in reviewed pass","Strong: royalty-free models; unlimited usage rights","High on ecommerce consistency + workflow system","Workflow-led","/Users/Peter/Documents/BizDev/research/2026-04-07-soona-competitor-note.md"
"Spaces","https://getspaces.ai/","3D -> 2D branded visuals","Turn 3D product assets into endless on-brand marketing visuals","Brands with large catalogs; global marketing teams","3D configuration; AI environments; Brand DNA; localization","n/f","No public numeric count found","n/f","n/f","Brand/workflow trust more than legal wedge","Very high; closest to 3D structure first; AI visuals second","Sales-led","/Users/Peter/Documents/BizDev/research/2026-04-07-spaces-competitor-note.md"
"Torus3D","https://torus3d.it/?lang=en","Configurator + catalog visuals","3D ecommerce configurator with catalog-image generation per product code","Configurable-product ecommerce brands; furniture","Config logic; rules/events; photoreal rendering; SKU images","n/f","No public customer count; self-reported outcome claims","n/f","n/f","Commerce workflow trust","High on rules-first configurable output","Demo-led / custom","/Users/Peter/Documents/BizDev/research/2026-04-07-torus3d-competitor-note.md"
"Twikit","https://twikit.com/","Product configurator","Real-time 3D configurator + CPQ + manufacturing workflow","Manufacturers; automotive; machinery; mobility","Real-time 3D; low-code logic; CPQ; production files; ERP/PLM","n/f","No numeric public count found","n/f","n/f","Manufacturing/integration trust","Very high on structured configuration","Enterprise / solution-led","/Users/Peter/Documents/BizDev/research/2026-04-07-twikit-competitor-note.md"
"Vectary","https://www.vectary.com/","Browser 3D workflow","No-code browser-based 3D and AR platform for teams","Product; design; marketing; manufacturing teams","3D editor; AR; API; CAD import; comments; image-to-3D; renders","Pro AI $15 annual / $25 monthly + Business custom","4M+ users self-reported","n/f","n/f","Team/business workflow trust","High on browser 3D workflow; moderate on consistency","Product-led + business","/Users/Peter/Documents/BizDev/research/2026-04-07-vectary-competitor-note.md"
"Wan AI","https://wan.video","Adjacent video generation","Text-to-video / image-to-video creation","Broad creator audience","Video generation; image-to-video","n/f","No strong public count found","n/f","n/f","n/f","Low-moderate for our thesis; more adjacent video","Watchlist / unclear","/Users/Peter/Documents/BizDev/research/2026-04-07-wan-ai-competitor-note.md"
"Zolak","https://zolak.tech/","Visual commerce / furniture","3D; AR; configurators; and static renders for furniture retail","Furniture retailers; merchandising teams","Viewer; configurator; showroom; AR; static renders","n/f","Self-reported product-scale and outcome claims; no customer count","n/f","n/f","Commerce outcome trust","High on structured product data -> visuals","Sales-led vertical","/Users/Peter/Documents/BizDev/research/2026-04-07-zolak-competitor-note.md"
"Glorify","https://glorify.com/","Ecommerce design workflow","Ecommerce-focused design platform for product and marketing visuals","Ecommerce brands; Amazon/DTC sellers; agencies","AI images; mockups; shadows; resize; writer; collaboration","$19 / $39 / $97","300,000+ users self-reported","Positive; low-volume","Mixed-to-weak","Standard SaaS/commercial workflow","Moderate; ecommerce design control more than deep generation control","Product-led","/Users/Peter/Documents/BizDev/research/2026-04-08-glorify-competitor-note.md"
"HomeDesigns.ai","https://homedesigns.ai/","Interior / exterior visualization","Redesign interiors; exteriors; and gardens from a photo","Homeowners; designers; architects; agents; developers","Staging; sketch-to-render; autofill; furniture removal; 2D->3D floorplans","EUR 24 / 27 / 34 from screenshot","Strong self-reported scale claims; inconsistent across pages","3.3/5 (14)","3.7/5 (1,320)","Full usage rights messaging on site; mixed external trust","Moderate; more photo redesign than deep control","Product-led","/Users/Peter/Documents/BizDev/research/2026-04-08-homedesigns-ai-competitor-note.md"
"Miricanvas","https://www.miricanvas.com/","Design workflow","Template-first design platform with embedded AI","Marketers; SMBs; teachers; creators","AI images; AI presentations; writing; BG removal; templates","Free / Pro / Enterprise; G2 vendor price $11.99/seat/mo","2M+ MAU self-reported","4.7/5 (220)","n/f in reviewed pass","Broad design-platform trust","Moderate; editable workflow over deep control","Product-led","/Users/Peter/Documents/BizDev/research/2026-04-08-miricanvas-competitor-note.md"
"Paintit.ai","https://paintit.ai/","Interior visualization","Chat-first AI visualization for interiors; exteriors; staging","Designers; architects; decorators; agents","Photo redesign; from-scratch generation; chat refinement; projects","G2 vendor pricing: Free / $6.99 weekly / $24.99 monthly","No useful numeric public count found","5.0/5 (low volume)","No meaningful Trustpilot found","Workflow / usability trust","Moderate; chat refinement; less deep control","Product-led","/Users/Peter/Documents/BizDev/research/2026-04-08-paintit-ai-competitor-note.md"
"Simplified","https://simplified.com/","Marketing operating system","One AI platform to create; schedule; automate; and manage marketing content","Marketers; SMBs; agencies; creators","Design; image gen; writing; video; scheduling; collaboration","Free / One $24 annual / Enterprise + older G2 variants","Vendor-supplied 2,000,000+ users on G2","4.6/5 (5,004)","4.5/5 (623)","Broad marketing workflow trust","Moderate; workflow breadth over deep control","Product-led + enterprise","/Users/Peter/Documents/BizDev/research/2026-04-08-simplified-competitor-note.md"
"Freepik AI","https://www.freepik.com/ai/image-generator","Broad creative suite","AI creativity at scale with stock; models; editing; and licensing","Designers; marketers; teams; agencies; enterprises","Many models; training; editing; API; stock; commercial AI license","Essential $5.75; Premium $7.68; Premium+ $24.50; Pro $158.33; Business; Enterprise","Official 700,000+ trust claim; vendor-supplied 100M+ users and 800k subscribers","4.7/5 (163)","3.3/5 (2,431)","Strong: commercial AI license; indemnification","High on production workflow; references; training","Product-led + enterprise","/Users/Peter/Documents/BizDev/research/2026-04-10-freepik-ai-competitor-note.md"
"Ideogram","https://ideogram.ai/","Broad image generation / design","Image generation with strong text rendering and design-friendly output","Marketers; designers; brand teams; creators","Typography; logos; posters; character reference; Magic Fill; Remix","Free / $8 / $20 / $60 / Team $30 per member","7M+ creators and 600M+ images self-reported","n/f","4.3/5 (128)","Output rights not restricted across plans","High for design/text utility; moderate for deeper control","Product-led","/Users/Peter/Documents/BizDev/research/2026-04-10-ideogram-competitor-note.md"
"Krea","https://www.krea.ai/","Broad creative suite / control","One AI creative suite for image; video; 3D; editing; realtime generation","Creative pros; agencies; advanced prosumers","Realtime gen; multi-model access; LoRA training; 3D; upscale","$0 / $9 / $35 / $105 / Enterprise","30M+ users self-reported","5.0/5 (1)","2.7/5 (70)","Paid plans: commercial license + user ownership","High on realtime control; multi-model; LoRA","Product-led + enterprise","/Users/Peter/Documents/BizDev/research/2026-04-10-krea-competitor-note.md"
"Leonardo.Ai","https://leonardo.ai/","Broad creative suite / control","Creator-first generative platform for exploration; control; and scale","Creators; designers; marketers; game/concept artists; teams","Personal AI models; private generations; realtime canvas; video; API","Free / $12 / $30 / $60 / Team / API usage-based","Official scale claims from 4M+ community to 18M+ creators across pages","4.5/5 (32)","4.6/5 (1,131)","Paid: full ownership; free: broader Leonardo rights","Very high on control; training; private generation","Freemium + team/API upsell","/Users/Peter/Documents/BizDev/research/2026-04-10-leonardo-ai-competitor-note.md"
"Midjourney","https://www.midjourney.com/","Broad image generation","High-quality AI image generation with strong aesthetic output","Creators; designers; agencies; prosumers","Image quality; community; relax mode; stealth mode","$10 / $30 / $60 / $120 + GPU time","No precise official user count found in reviewed pages","4.4/5 (94)","1.5/5 (327)","Users own output; company revenue >$1M needs Pro/Mega","Moderate; stronger on quality than workflow/control","Creator-led subscription","/Users/Peter/Documents/BizDev/research/2026-04-10-midjourney-competitor-note.md"
"NightCafe","https://creator.nightcafe.studio/","Community image generation","Accessible AI art creation with community and credit loops","Hobbyists; AI art enthusiasts; casual creators","Free daily credits; challenges; subscriptions; credit packs","Subscription + credit-pack model; full table not verified in pass","Historical self-reported 35M+ artworks in 2022","4.3/5 (2)","4.0/5 (531)","Rights not crisply verified in pass","Low-moderate; community/credit loops over control","Community-led","/Users/Peter/Documents/BizDev/research/2026-04-10-nightcafe-competitor-note.md"
"Playground","https://playground.com/","Lightweight image/design","Easy AI image generation and design for fast visual creation","Creators; SMBs; marketers; non-designers","Ease of use; quick creation; simple design support","Weak public signal; commonly Free + Pro around $15/mo; not verified officially in pass","No verified official public scale claim found","4.4/5 (15)","2.3/5 (7)","n/f in pass","Low-moderate; easy UX over deep control","Product-led","/Users/Peter/Documents/BizDev/research/2026-04-10-playground-competitor-note.md"
"Recraft","https://www.recraft.ai/","AI for designers","AI design tool for professional images; vectors; icons; mockups; brand visuals","Designers; marketers; brand teams; agencies","Vector generation; mockups; text/layout; style control; collaboration","Pro from $12/mo; higher tiers; Teams from $69/seat/mo","3M+ users across 200 countries self-reported","4.7/5 (385)","2.1/5 (12)","Paid: full ownership + privacy; free: public and owned by Recraft","Very high on design control; vectors; brand consistency","Product-led + teams","/Users/Peter/Documents/BizDev/research/2026-04-10-recraft-competitor-note.md"
"Runway","https://runwayml.com/","Multimodal media platform","All-in-one AI media platform for video; image; audio; editing; workflows","Filmmakers; creative teams; agencies; developers; enterprises","Video gen; image gen; references; workflows; API; lip sync","$0 / $12 / $28 / $76 / Enterprise + API credits; paid tiers bundle third-party models + Explore Mode","Millions self-reported; tens of millions of users and many thousands of companies","3.7/5 (17)","1.2/5 (229)","Platform/enterprise trust over Firefly-style safety wedge","Very high on reference-driven consistency across image/video","Product-led + API + enterprise","/Users/Peter/Documents/BizDev/research/2026-04-10-runway-competitor-note.md"
"Wave AI","https://www.waveai.io/","Lightweight image editing","Easy AI photo editing and product-photo-to-ad transformation","Small merchants; casual creators; social users","Photo editor; BG changes; object removal; style transformation","n/f","No public user/customer count found","n/f","n/f","No strong public rights wedge found","Low; lightweight editing more than control/consistency","Lightweight product-led","/Users/Peter/Documents/BizDev/research/2026-04-10-wave-ai-competitor-note.md"
